Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,8,D. Carr QB - LV ,17.40,M. Gordon RB - LAC ,8.90,J. Howard RB - CHI ,14.70,A. Brown WR - PIT ,27.10,--empty--,-,T. Kelce TE - KC ,10.10,D. Martin RB - TB ,7.00,J. Tucker K - BAL ,19.00,Bills DEF ,2.00,R. Shazier LB - PIT ,4.50,R. Cobb WR - GB ,6.10,M. Ingram RB - NO ,28.70,D. Adams WR - GB ,23.30,J. Hill RB - CIN ,8.20,Q. Enunwa WR - NYJ ,16.90,D. Henry RB - TEN ,12.00,V. Miller LB - DEN ,16.50,110.70,Kevin,107.74
Liam WHYTE,4,A. Rodgers QB - GB ,23.12,T. Gurley RB - LA ,9.90,R. Kelley RB - WAS ,4.20,T. Pryor WR - CLE ,13.10,R. Matthews WR - TEN ,12.40,C. Fleener TE - NO ,5.90,W. Smallwood RB - PHI ,4.70,A. Vinatieri K - IND ,1.00,Rams DEF ,0.00,C. Kirksey LB - CLE ,7.50,J. Edelman WR - NE ,8.30,K. Rudolph TE - MIN ,6.40,B. Marshall WR - NYJ ,13.70,J. Crowder WR - WAS ,8.80,S. Diggs WR - MIN ,0.00,L. Kuechly LB - CAR ,0.00,-,-,81.82,Adam,107.44
Adam,3,M. Mariota QB - TEN ,21.64,L. McCoy RB - BUF ,27.40,C. Hyde RB - SF ,15.50,J. Nelson WR - GB ,9.10,T. Benjamin WR - LAC ,1.80,Z. Ertz TE - PHI ,3.60,T. West RB - BAL ,6.40,C. Sturgis K - PHI ,9.00,Dolphins DEF ,6.00,K. Alexander LB - TB ,7.00,M. Ryan QB - ATL ,18.26,R. Jennings RB - NYG ,5.90,R. Gronkowski TE - NE ,0.00,T. Hilton WR - IND ,5.40,M. Jones WR - DET ,5.40,D. Booker RB - DEN ,10.10,-,-,107.44,Liam WHYTE,81.82
Steven,10,R. Tannehill QB - MIA ,26.80,L. Blount RB - NE ,6.70,T. Coleman RB - ATL ,7.30,J. Landry WR - MIA ,4.70,W. Snead WR - NO ,9.80,D. Walker TE - TEN ,11.00,C. Beasley WR - DAL ,5.60,A. Franks K - MIA ,7.00,Seahawks DEF ,7.00,Z. Brown LB - BUF ,4.50,M. Crabtree WR - LV ,11.00,E. Sanders WR - DEN ,22.20,D. Williams RB - PIT ,0.00,C. Palmer QB - ARI ,19.56,D. Sproles RB - PHI ,5.40,D. Johnson LB - KC ,6.50,-,-,90.40,Kevin,116.84
Oliver,9,D. Brees QB - NO ,32.50,L. Miller RB - HOU ,5.50,D. Johnson RB - CLE ,4.00,L. Fitzgerald WR - ARI ,5.30,S. Shepard WR - NYG ,2.20,J. Graham TE - SEA ,4.70,O. Beckham WR - NYG ,21.60,S. Hauschka K - SEA ,3.00,Panthers DEF ,4.00,C. Graham DB - BUF ,5.00,J. Maclin WR - KC ,0.00,T. Yeldon RB - JAX ,2.00,C. Meredith WR - CHI ,1.90,Raiders DEF ,11.00,C. Dunlap DL - CIN ,7.00,-,-,-,-,87.80,Jackson ,77.88
Aaron,1,D. Prescott QB - DAL ,21.70,L. Murray RB - LV ,14.80,D. Johnson RB - ARI ,22.10,M. Evans WR - TB ,22.40,K. Benjamin WR - CAR ,11.30,J. Reed TE - WAS ,21.50,B. LaFell WR - CIN ,3.80,D. Bailey K - DAL ,7.00,Vikings DEF ,3.00,A. Ogletree LB - LA ,11.00,K. Britt WR - LA ,11.20,R. Mathews RB - PHI ,0.00,J. Witten TE - DAL ,3.30,B. Roethlisberger QB - PIT ,20.84,G. Bernard RB - CIN ,0.00,I. Crowell RB - CLE ,7.10,-,-,138.60,Todd,84.44
Kevin,5,C. Newton QB - CAR ,22.44,D. Murray RB - TEN ,8.40,L. Bell RB - PIT ,20.20,J. Jones WR - ATL ,3.50,M. Thomas WR - NO ,22.80,G. Olsen TE - CAR ,4.50,B. Cooks WR - NO ,0.00,C. Santos K - KC ,8.00,Patriots DEF ,6.00,K. Mack DL - LV ,21.00,T. Hightower RB - NO ,16.50,M. Stafford QB - DET ,16.28,M. Floyd WR - NE ,3.10,S. Ware RB - KC ,9.60,T. Hill WR - KC ,17.50,K. Vaccaro DB - NO ,7.00,-,-,116.84,Steven,90.40
Todd,6,T. Brady QB - NE ,21.04,M. Forte RB - NYJ ,5.00,F. Gore RB - IND ,3.10,D. Bryant WR - DAL ,7.20,M. Wallace WR - BAL ,5.60,C. Fiedorowicz TE - HOU ,4.20,T. Rawls RB - SEA ,3.80,D. Hopkins K - WAS ,8.00,Chiefs DEF ,15.00,S. Lee LB - DAL ,11.50,J. Starks RB - GB ,6.80,A. Green WR - CIN ,0.00,K. Cousins QB - WAS ,32.16,R. Wilson QB - SEA ,13.04,S. Watkins WR - BUF ,8.00,T. Williams WR - LAC ,13.00,-,-,84.44,Aaron,138.60
Jackson ,7,P. Rivers QB - LAC ,19.68,T. Riddick RB - DET ,5.80,D. Freeman RB - ATL ,19.70,D. Baldwin WR - SEA ,3.40,D. Hopkins WR - HOU ,8.00,G. Barnidge TE - CLE ,1.10,J. Matthews WR - PHI ,4.70,J. Lambo K - LAC ,3.00,Broncos DEF ,5.00,B. Wagner LB - SEA ,7.50,J. Stewart RB - CAR ,21.60,D. Thomas WR - DEN ,6.00,C. Ivory RB - JAX ,11.50,T. Eifert TE - CIN ,12.80,J. Winston QB - TB ,16.00,J. Langford RB - CHI ,0.50,-,-,77.88,Oliver,87.80
Kevin,2,B. Bortles QB - JAX ,21.14,J. Ajayi RB - MIA ,11.60,E. Elliott RB - DAL ,24.00,A. Robinson WR - JAX ,2.40,A. Cooper WR - LV ,2.20,C. Brate TE - TB ,5.90,S. Smith WR - BAL ,2.00,S. Janikowski K - LV ,9.00,Giants DEF ,23.00,L. Collins DB - NYG ,6.50,P. Garcon WR - WAS ,4.30,A. Dalton QB - CIN ,13.72,A. Gates TE - LAC ,0.00,A. Luck QB - IND ,0.00,D. Moncrief WR - IND ,11.50,-,-,-,-,107.74,Liam,110.70
