Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,8,B. Mayfield QB - CLE ,9.40,D. Johnson RB - ARI ,19.70,P. Lindsay RB - DEN ,6.60,D. Westbrook WR - JAX ,10.20,J. Smith-Schuster WR - PIT ,7.80,G. Kittle TE - SF ,6.40,M. Mack RB - IND ,25.40,J. Elliott K - PHI ,6.00,Seahawks DEF ,12.00,D. Leonard LB - IND ,7.00,A. Green WR - CIN ,0.00,C. Hyde RB - HOU ,8.50,W. Fuller WR - HOU ,6.90,T. Cohen RB - CHI ,4.90,K. Ballage RB - MIA ,1.20,T. Hockenson TE - DET ,19.10,-,-,110.50,Todd,122.32
Liam WHYTE,1,C. Wentz QB - PHI ,25.02,D. Henry RB - TEN ,27.90,S. Barkley RB - NYG ,13.90,T. Hilton WR - IND ,20.70,T. Boyd WR - CIN ,6.30,Z. Ertz TE - PHI ,5.40,D. Cook RB - MIN ,24.00,H. Butker K - KC ,16.00,Bills DEF ,10.00,L. Kuechly LB - CAR ,7.00,D. Johnson RB - HOU ,9.00,M. Breida RB - SF ,3.70,A. Miller WR - CHI ,0.00,D. Moore WR - CAR ,6.60,M. Valdes-Scantling WR - GB ,5.20,D. Goedert TE - PHI ,1.60,-,-,156.22,Oliver,116.70
Adam,2,L. Jackson QB - BAL ,33.56,L. Fournette RB - JAX ,7.40,A. Ekeler RB - LAC ,33.40,D. Hopkins WR - HOU ,24.10,S. Diggs WR - MIN ,3.70,D. Walker TE - TEN ,17.50,D. Williams RB - KC ,12.50,A. Rosas K - NYG ,5.00,Ravens DEF ,13.00,R. Smith LB - CHI ,5.00,J. Gordon WR - SEA ,13.30,V. McDonald TE - PIT ,4.00,M. Williams WR - LAC ,2.90,I. Smith RB - ATL ,4.00,R. Penny RB - SEA ,1.80,M. Brown WR - BAL ,26.70,-,-,155.16,Kevin,107.90
Steven,10,K. Murray QB - ARI ,21.62,T. Coleman RB - SF ,5.60,E. Elliott RB - DAL ,12.30,K. Allen WR - LAC ,18.30,T. Hill WR - KC ,2.10,G. Olsen TE - CAR ,3.60,C. Kupp WR - LA ,4.60,J. Sanders K - MIA ,6.00,Vikings DEF ,14.00,D. Jones LB - ATL ,4.00,M. Ryan QB - ATL ,18.56,E. Sanders WR - SF ,14.60,M. Jones WR - DET ,6.00,J. Landry WR - CLE ,8.70,A. Wilson WR - MIA ,1.40,M. Gordon RB - LAC ,0.00,-,-,92.12,Jackson ,99.94
Oliver,6,D. Prescott QB - DAL ,33.40,D. Freeman RB - ATL ,2.10,J. Mixon RB - CIN ,1.70,D. Adams WR - GB ,3.60,T. Lockett WR - SEA ,10.40,E. Engram TE - NYG ,17.60,B. Cooks WR - LA ,3.90,G. Zuerlein K - LA ,14.00,Bears DEF ,9.00,C. Littleton LB - LA ,21.00,L. McCoy RB - KC ,9.30,C. Newton QB - CAR ,6.36,L. Fitzgerald WR - ARI ,17.30,C. Samuel WR - CAR ,3.20,S. Michel RB - NE ,1.40,A. Mattison RB - MIN ,4.90,-,-,116.70,Liam WHYTE,156.22
Aaron,4,P. Mahomes QB - KC ,27.32,M. Ingram RB - BAL ,22.70,C. McCaffrey RB - CAR ,32.90,A. Thielen WR - MIN ,10.30,O. Beckham WR - CLE ,7.10,O. Howard TE - TB ,3.20,J. Howard RB - PHI ,5.50,B. Maher K ,5.00,Jaguars DEF ,-4.00,K. Alexander LB - SF ,3.00,A. Robinson WR - CHI ,10.20,M. Gallup WR - DAL ,15.80,C. Ridley WR - ATL ,12.40,J. Washington WR - PIT ,5.10,M. Sanders RB - PHI ,2.70,D. Singletary RB - BUF ,9.80,-,-,113.02,Kevin,112.50
Kevin,9,R. Wilson QB - SEA ,16.60,K. Drake RB - ARI ,2.70,A. Kamara RB - NO ,16.90,S. Watkins WR - KC ,37.80,M. Evans WR - TB ,2.80,T. Burton TE - CHI ,0.00,R. Woods WR - LA ,9.60,J. Tucker K - BAL ,11.00,Chargers DEF ,2.00,B. Martinez LB - GB ,8.50,J. White RB - NE ,8.20,S. Shepard WR - NYG ,4.20,J. Goff QB - LA ,9.44,K. Golladay WR - DET ,10.20,A. Jones RB - GB ,5.90,C. Ferrell DL - LV ,5.50,-,-,107.90,Adam,155.16
Todd,3,D. Watson QB - HOU ,30.72,T. Gurley RB - LA ,10.10,C. Carson RB - SEA ,18.00,T. Ginn WR - NO ,10.10,A. Cooper WR - DAL ,16.60,T. Kelce TE - KC ,8.80,J. Conner RB - PIT ,6.50,K. Fairbairn K - HOU ,4.00,Rams DEF ,9.00,B. Wagner LB - SEA ,8.50,T. Brady QB - NE ,25.64,F. Gore RB - BUF ,2.00,G. Allison WR - GB ,0.00,R. Anderson WR - NYJ ,3.30,C. Davis WR - TEN ,0.00,C. Kirk WR - ARI ,6.40,-,-,122.32,Liam,110.50
Jackson ,5,J. Winston QB - TB ,9.06,L. Bell RB - NYJ ,17.20,K. Johnson RB - DET ,6.20,J. Edelman WR - NE ,10.38,M. Thomas WR - NO ,12.30,H. Henry TE - LAC ,6.00,C. Godwin WR - TB ,11.30,W. Lutz K - NO ,14.00,--empty--,-,L. Vander Esch LB - DAL ,13.50,B. Roethlisberger QB - PIT ,11.74,L. Murray RB - NO ,10.70,P. Barber RB - TB ,4.50,R. Freeman RB - DEN ,6.10,J. Jackson RB - LAC ,6.10,D. Guice RB - WAS ,3.80,Broncos DEF ,0.00,99.94,Steven,92.12
Kevin,7,D. Brees QB - NO ,20.80,N. Chubb RB - CLE ,8.50,J. Jacobs RB - LV ,23.30,J. Jones WR - ATL ,10.10,A. Jeffery WR - PHI ,17.10,J. Cook TE - NO ,5.70,D. Montgomery RB - CHI ,4.50,S. Gostkowski K - NE ,16.00,Steelers DEF ,0.00,T. Edmunds LB - BUF ,6.50,A. Rodgers QB - GB ,12.92,A. Brown WR ,0.00,J. Reed TE - WAS ,0.00,T. Williams WR - LV ,16.50,D. Pettis WR - SF ,0.70,D. Henderson RB - LA ,0.00,-,-,112.50,Aaron,113.02
