Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,2,T. Tagovailoa QB - MIA Q ,18.62,R. Mostert RB - LV ,1.90,J. Gibbs RB - DET ,13.40,M. Evans WR - TB ,18.10,A. Brown WR - PHI ,17.90,K. Pitts TE - ATL ,8.60,D. Metcalf WR - PIT ,2.90,J. Moody K - SF ,24.00,Lions DEF ,5.00,E. Jones LB - SEA Q ,3.00,D. Schultz TE - HOU ,1.60,D. Montgomery RB - DET ,15.30,J. Warren RB - PIT ,2.00,R. Rice WR - KC Q ,11.30,Z. Charbonnet RB - SEA ,11.10,B. Bowers TE - LV ,5.80,-,-,-,-,-,-,113.42,Adam,73.96
Liam WHYTE,5,T. Lawrence QB - JAX Q ,11.28,J. Williams RB - DAL ,2.30,J. Cook RB - BUF ,10.30,J. Jefferson WR - MIN ,11.90,G. Wilson WR - NYJ ,6.00,M. Andrews TE - BAL ,1.40,C. Kupp WR - SEA ,18.00,J. Elliott K - PHI ,10.00,Eagles DEF ,3.00,T. Edwards LB - CHI ,15.50,A. Rodgers QB - NYJ ,8.58,E. Elliott RB - LAC ,10.90,A. Ekeler RB - WAS ,6.20,K. Murray QB - ARI ,14.18,J. Williams WR - DET ,19.40,K. Coleman WR - BUF ,5.10,-,-,-,-,-,-,89.68,Kevin,71.80
Adam,9,J. Burrow QB - CIN ,10.06,G. Edwards RB - LAC ,2.80,B. Hall RB - NYJ ,13.30,D. Samuel WR - WAS ,13.70,C. Olave WR - NO Q ,1.10,S. LaPorta TE - DET ,4.50,D. Moore WR - CHI ,5.00,J. Tucker K - BAL ,8.00,Bills DEF ,5.00,T. Bernard LB - BUF ,10.50,J. Goff QB - DET ,11.38,C. Kirk WR - HOU Q ,3.00,M. Brown WR - KC ,0.00,P. Freiermuth TE - PIT ,2.70,Z. White RB - LV ,2.60,C. Williams QB - CHI Q ,9.22,-,-,-,-,-,-,73.96,Liam,113.42
Steven,6,C. Stroud QB - HOU ,18.66,D. Henry RB - BAL ,10.60,A. Kamara RB - NO Q ,17.00,J. Chase WR - CIN ,7.20,J. Waddle WR - MIA ,11.20,T. Kelce TE - KC ,3.40,K. Allen WR - CHI ,2.90,B. Aubrey K - DAL Q ,19.00,Dolphins DEF ,6.00,Z. Franklin LB - IND ,6.00,D. Hopkins WR - BAL ,0.80,C. Ridley WR - TEN ,5.00,C. Sutton WR - DEN ,4.80,J. Jeudy WR - CLE ,8.50,J. Wright RB - MIA ,0.00,Browns DEF ,2.00,-,-,-,-,-,-,101.96,Jackson ,124.12
Oliver,3,A. Richardson QB - IND Q ,26.08,J. Jacobs RB - GB ,10.40,K. Walker RB - SEA Q ,16.90,C. Lamb WR - DAL ,8.60,M. Nabers WR - NYG ,6.60,D. Njoku TE - CLE Q ,5.40,D. Achane RB - MIA ,16.00,G. Zuerlein K - NYJ Q ,1.00,Bengals DEF ,2.00,F. Warner LB - SF ,8.00,T. Lockett WR - TEN ,7.70,N. Chubb RB - CLE Q ,0.00,D. Singletary RB - NYG ,5.20,T. Higgins WR - CIN ,0.00,J. Mason RB - MIN Q ,21.20,L. McConkey WR - LAC ,9.90,-,-,-,-,-,-,100.98,Aaron,88.90
Aaron,8,J. Love QB - GB ,16.40,C. McCaffrey RB - SF ,0.00,T. Etienne RB - JAX ,9.90,D. Smith WR - PHI ,9.40,M. Harrison WR - ARI ,0.40,J. Ferguson TE - DAL ,1.50,J. Conner RB - ARI Q ,16.30,H. Butker K - KC ,9.00,Cowboys DEF ,17.00,R. Smith LB - BAL ,9.00,M. Stafford QB - LAR ,14.68,A. Cooper WR - BUF ,1.60,T. Hill TE - NO Q ,3.60,Z. Moss RB - CIN Q ,12.60,R. Stevenson RB - NE ,20.60,J. Addison WR - MIN ,3.50,-,-,-,-,-,-,88.90,Oliver,100.98
Kevin,7,P. Mahomes QB - KC ,14.14,D. Swift RB - CHI ,5.00,I. Pacheco RB - KC ,13.80,T. Hill WR - MIA Q ,19.00,G. Pickens WR - DAL ,7.50,G. Kittle TE - SF ,4.00,M. Pittman WR - IND ,3.10,C. Dicker K - LAC ,12.00,Chiefs DEF ,4.00,A. Singleton LB - DEN Q ,11.00,D. Prescott QB - DAL Q ,11.46,C. Samuel WR - BUF ,1.50,D. Johnson WR - CLE ,1.90,D. Kincaid TE - BUF ,1.10,C. Brown RB - CIN Q ,2.30,X. Worthy WR - KC ,18.80,-,-,-,-,-,-,93.54,Todd,95.58
Todd,4,J. Allen QB - BUF ,31.18,A. Jones RB - MIN ,16.90,R. White RB - TB ,10.60,B. Aiyuk WR - SF Q ,2.80,A. St. Brown WR - DET ,2.30,C. Kmet TE - CHI ,0.40,K. Williams RB - LAR ,11.40,Y. Koo K - ATL Q ,4.00,Ravens DEF ,4.00,F. Oluokun LB - JAX ,12.00,C. Godwin WR - TB Q ,14.30,T. Hockenson TE - MIN ,0.00,T. McLaurin WR - WAS ,1.70,N. Harris RB - LAC ,7.90,Z. Flowers WR - BAL Q ,5.10,J. Daniels QB - WAS ,28.16,-,-,-,-,-,-,95.58,Kevin,93.54
Jackson ,1,L. Jackson QB - BAL ,25.12,S. Barkley RB - PHI ,33.20,J. Taylor RB - IND ,10.80,N. Collins WR - HOU ,11.70,D. London WR - ATL ,1.50,E. Engram TE - DEN Q ,0.50,J. Mixon RB - HOU ,23.80,D. Hopkins K - CLE ,7.00,49ers DEF ,6.00,B. Okereke LB - NYG Q ,4.50,D. Goedert TE - PHI ,3.10,T. Pollard RB - TEN ,15.40,K. Shakir WR - BUF ,10.20,J. Ford RB - CLE ,12.90,B. Purdy QB - SF ,10.34,T. Dell WR - HOU Q ,5.90,-,-,-,-,-,-,124.12,Steven,101.96
Kevin,10,--empty--,-,B. Robinson RB - WAS ,14.90,T. Benson RB - ARI Q ,1.80,J. Reed WR - GB Q ,29.10,R. Odunze WR - CHI ,1.10,T. McBride TE - ARI ,3.00,S. Diggs WR - NE Q ,15.90,E. McPherson K - CIN Q ,6.00,--empty--,-,--empty--,-,D. Adams WR - LAR ,5.90,J. Hurts QB - PHI ,16.42,J. Herbert QB - LAC ,10.36,C. Hubbard RB - CAR ,1.40,B. Robinson RB - ATL ,11.10,P. Nacua WR - LAR ,4.20,J. Brooks RB - CAR PUP ,0.00,Seahawks DEF ,9.00,D. James DB - LAC ,6.50,71.80,Liam WHYTE,89.68
