Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,4,C. Newton QB - CAR ,14.30,S. Jackson RB - ATL ,2.50,K. Davis RB - KC ,3.60,D. Bryant WR - DAL ,15.10,J. Jones WR - ATL ,5.60,J. Witten TE - DAL ,2.70,E. Sanders WR - DEN ,10.10,J. Tucker K - BAL ,9.00,Bengals DEF ,6.00,J. Watt DL - HOU ,6.50,M. Bennett TE - CHI ,5.80,L. McCoy RB - PHI ,0.00,R. Cobb WR - GB ,18.30,M. Colston WR - NO ,11.10,A. Boldin WR - SF ,5.00,B. Roethlisberger QB - PIT ,16.90,-,-,75.40,Aaron,102.44
Liam WHYTE,7,T. Brady QB - NE ,22.44,A. Foster RB - HOU ,15.50,B. Oliver RB - LAC ,7.80,P. Garcon WR - WAS ,14.70,--empty--,-,L. Donnell TE - NYG ,5.00,M. Sanu WR - CIN ,5.40,N. Novak K - LAC ,8.00,Panthers DEF ,-2.00,K. Dansby LB - CLE ,6.50,J. Edelman WR - NE ,5.20,A. Green WR - CIN ,0.00,S. Vereen RB - NE ,23.40,C. Johnson WR - DET ,0.00,V. Jackson WR - TB ,0.00,N. Foles QB - PHI ,0.00,Z. Ertz TE - PHI ,0.00,83.34,Adam,139.88
Adam,5,D. Brees QB - NO ,20.98,J. Charles RB - KC ,16.70,A. Ellington RB - ARI ,16.00,D. Thomas WR - DEN ,29.10,M. Wallace WR - MIA ,11.00,A. Gates TE - LAC ,12.10,J. Forsett RB - BAL ,9.50,A. Vinatieri K - IND ,11.00,Browns DEF ,8.00,C. Mosley LB - BAL ,5.50,P. Harvin WR - NYJ ,0.00,B. Hoyer QB - CLE ,4.50,J. Bell RB - DET ,12.70,A. Bradshaw RB - IND ,19.80,V. Davis TE - SF ,2.10,Broncos DEF ,9.00,-,-,139.88,Liam WHYTE,83.34
Steven,8,P. Rivers QB - LAC ,16.20,B. Tate RB - PIT ,3.40,A. Morris RB - WAS ,6.40,K. Allen WR - LAC ,5.80,D. Hopkins WR - HOU ,8.80,C. Clay TE - MIA ,11.80,P. Thomas RB - NO ,3.00,S. Hauschka K - SEA ,8.00,Seahawks DEF ,-1.00,C. Wake DL - MIA ,8.00,M. Forte RB - CHI ,23.90,J. Maclin WR - PHI ,0.00,J. Cutler QB - CHI ,9.90,B. Marshall WR - CHI ,7.80,D. Allen TE - IND ,14.20,M. Ball RB - DEN ,0.00,-,-,70.40,Todd,83.06
Oliver,6,A. Rodgers QB - GB ,24.30,R. Bush RB - DET ,3.20,A. Williams RB - NYG ,5.10,M. Crabtree WR - SF ,2.70,L. Fitzgerald WR - ARI ,2.10,R. Gronkowski TE - NE ,6.80,K. Juszczyk RB - BAL ,0.40,S. Gostkowski K - NE ,9.00,Patriots DEF ,3.00,L. Kuechly LB - CAR ,7.50,J. Flacco QB - BAL ,14.72,R. Jennings RB - NYG ,0.00,C. Spiller RB - BUF ,5.60,G. Tate WR - DET ,21.40,C. Kaepernick QB - SF ,14.32,T. Kelce TE - KC ,3.30,-,-,64.10,Kevin,86.02
Aaron,3,P. Manning QB - DEN ,28.62,F. Jackson RB - BUF ,2.80,L. Bell RB - PIT ,20.50,A. Brown WR - PIT ,13.12,B. Quick WR - STL ,3.30,D. Walker TE - TEN ,1.70,D. Jackson WR - WAS ,4.90,D. Bailey K - DAL ,8.00,Bills DEF ,10.00,D. Levy LB - DET ,9.50,A. Smith RB - ATL ,0.90,J. Graham TE - NO ,0.00,E. Manning QB - NYG ,23.02,D. Sproles RB - PHI ,0.00,D. Adams WR - GB ,8.10,Eagles DEF ,0.00,-,-,102.44,Liam,75.40
Kevin,1,R. Wilson QB - SEA ,37.12,M. Ingram RB - NO ,2.90,G. Bernard RB - CIN ,1.60,R. Wayne WR - IND ,1.50,A. Hawkins WR - CLE ,13.00,J. Thomas TE - DEN ,2.70,T. Hilton WR - IND ,10.70,M. Prater K - DET ,6.00,49ers DEF ,-2.00,P. Posluszny LB - JAC ,12.50,M. Ryan QB - ATL ,11.82,G. Olsen TE - CAR ,10.50,A. Johnson WR - HOU ,8.70,A. Luck QB - IND ,20.26,L. Miller RB - MIA ,14.30,K. Benjamin WR - CAR ,12.10,-,-,86.02,Oliver,64.10
Todd,2,M. Stafford QB - DET ,17.06,D. Murray RB - DAL ,20.20,E. Lacy RB - GB ,13.30,J. Nelson WR - GB ,14.00,A. Jeffery WR - CHI ,0.90,J. Cameron TE - CLE ,0.50,M. Lynch RB - SEA ,7.10,M. Bryant K - ATL ,1.00,Lions DEF ,5.00,J. Allen DL - CHI ,4.00,O. Daniels TE - BAL ,11.80,S. Smith WR - BAL ,6.70,T. Romo QB - DAL ,21.66,F. Gore RB - SF ,2.00,M. Floyd WR - ARI ,10.70,L. David LB - TB ,0.00,-,-,83.06,Steven,70.40
