Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,5,J. Hurts QB - PHI Q ,11.22,J. Mixon RB - CIN ,21.10,K. Herbert RB - CHI ,8.80,S. Shepard WR - NYG IR ,2.50,D. Metcalf WR - SEA ,16.30,M. Gesicki TE - MIA ,6.80,D. Williams RB - KC ,11.00,M. Crosby K - GB ,6.00,Seahawks DEF ,13.00,D. Leonard LB - IND ,8.00,M. Stafford QB - LA ,24.20,A. Peterson RB - SEA O ,0.00,M. Davis RB - ATL Q ,6.60,C. McCaffrey RB - CAR IR ,0.00,M. Andrews TE - BAL ,0.00,M. Sanders RB - PHI ,0.00,-,-,104.72,Jackson ,98.60
Liam WHYTE,10,J. Burrow QB - CIN ,21.26,C. Patterson RB - ATL ,13.20,J. Williams RB - DEN ,4.80,M. Evans WR - TB ,10.80,S. Diggs WR - BUF ,10.00,T. Kelce TE - KC ,0.70,C. Sutton WR - DEN ,4.00,H. Butker K - KC ,8.00,Bengals DEF ,7.00,A. Singleton LB - DEN ,1.00,Z. Ertz TE - ARI ,4.20,J. Conner RB - ARI ,14.20,M. Gaskin RB - MIA ,5.50,J. Waddle WR - MIA ,2.90,D. Smith WR - PHI ,1.50,D. Perryman LB - LV Q ,0.00,-,-,80.76,Kevin,89.20
Adam,4,K. Murray QB - ARI ,11.06,A. Kamara RB - NO ,13.60,N. Harris RB - PIT ,18.00,M. Williams WR - LAC ,1.90,J. Jefferson WR - MIN ,2.10,T. Hockenson TE - DET IR ,8.90,D. Johnson RB - HOU ,0.30,G. Joseph K - MIN ,10.00,Bears DEF ,-1.00,D. Jones LB - ATL ,14.00,M. Jones WR - JAX ,3.50,R. Woods WR - TEN IR ,17.70,D. Booker RB - NYG ,13.50,T. Higbee TE - LA IR ,2.50,C. Claypool WR - PIT ,6.10,J. Tucker K - BAL ,0.00,-,-,78.86,Aaron,98.36
Steven,6,P. Mahomes QB - KC ,14.00,N. Chubb RB - CLE ,6.90,J. Robinson RB - JAX IR ,3.90,A. Thielen WR - MIN IR ,13.80,T. Hill WR - MIA ,15.40,M. Alie-Cox TE - IND ,1.00,A. Collins RB - SEA IR ,4.40,J. Sanders K - MIA ,5.00,Buccaneers DEF ,0.00,F. Oluokun LB - JAX ,13.00,M. Ingram RB - NO Q ,5.20,D. Parker WR - NE ,9.50,T. Lockett WR - SEA ,14.20,J. Meyers WR - NE ,5.60,Cowboys DEF ,2.00,J. Baker LB - MIA ,0.00,-,-,77.40,Oliver,104.30
Oliver,7,T. Tagovailoa QB - MIA ,15.70,D. Henry RB - TEN ,8.80,Z. Moss RB - BUF ,5.80,A. Green WR - ARI ,5.00,C. Godwin WR - TB IR ,20.00,C. Uzomah TE - NYJ ,3.30,A. Cooper WR - CLE ,18.20,N. Folk K - NE ,13.00,Rams DEF ,7.00,C. Holcomb LB - WAS ,7.50,A. Rodgers QB - GB ,15.66,K. Allen WR - LAC ,13.70,R. Anderson WR - CAR ,0.00,J. Williams RB - DET ,0.00,D. Schultz TE - DAL ,1.10,A. Mattison RB - MIN ,0.00,-,-,104.30,Steven,77.40
Aaron,2,K. Cousins QB - MIN ,15.16,M. Gordon RB - DEN ,16.20,A. Ekeler RB - LAC ,18.40,D. Hopkins WR - ARI IR ,6.60,B. Cooks WR - HOU Q ,14.30,K. Pitts TE - ATL ,2.30,D. Singletary RB - BUF ,2.90,T. Bass K - BUF ,10.00,Colts DEF ,6.00,B. Baker DB - ARI Q ,6.50,O. Beckham WR - LA O ,0.60,A. Robinson WR - LA ,2.10,C. Davis WR - NYJ IR ,0.00,L. Jackson QB - BAL Q ,0.00,J. Jacobs RB - LV ,0.00,D. Knox TE - BUF ,0.00,-,-,98.36,Adam,78.86
Kevin,3,T. Brady QB - TB ,25.20,A. Jones RB - GB ,17.00,D. Swift RB - DET ,3.10,C. Kupp WR - LA ,17.50,D. Moore WR - CAR ,5.90,J. Cook TE - LAC ,2.50,T. McLaurin WR - WAS ,3.50,M. Prater K - ARI ,3.00,Cardinals DEF ,1.00,B. Wagner LB - LA Q ,10.50,R. Gronkowski TE - TB ,0.00,D. Adams WR - LV ,0.00,D. Carr QB - LV ,0.00,K. Hunt RB - CLE Q ,0.00,G. Zuerlein K - NYJ ,8.00,Saints DEF ,15.00,-,-,89.20,Liam WHYTE,80.76
Todd,1,J. Allen QB - BUF ,29.46,E. Elliott RB - DAL Q ,7.30,D. Harris RB - NE ,14.00,D. Samuel WR - SF ,17.10,J. Chase WR - CIN ,10.10,D. Goedert TE - PHI ,7.20,A. Brown WR - PHI ,21.50,R. Succop K - TB ,3.00,Bills DEF ,10.00,D. White LB - TB ,8.00,E. Sanders WR - BUF ,0.00,N. Fant TE - SEA ,0.80,T. Pollard RB - DAL ,3.70,D. Johnson RB - CLE ,8.90,C. Lamb WR - DAL ,11.20,A. Gibson RB - WAS ,5.40,-,-,127.66,Kevin,111.22
Jackson ,8,C. Rush QB - DAL ,17.20,L. Fournette RB - TB ,4.30,J. Taylor RB - IND ,20.20,T. Higgins WR - CIN ,9.70,M. Pittman WR - IND ,20.60,R. Tonyan TE - GB IR ,4.90,K. Gainwell RB - PHI ,2.70,R. Bullock K - TEN ,10.00,--empty--,-,E. Kendricks LB - MIN ,9.00,J. Jones WR - TEN ,0.00,D. Waller TE - LV ,0.00,D. Prescott QB - DAL ,0.00,C. Edmonds RB - MIA ,12.90,S. Barkley RB - NYG ,0.00,D. Montgomery RB - CHI ,0.00,C. Hubbard RB - CAR ,13.10,98.60,Liam,104.72
Kevin,9,J. Herbert QB - LAC ,13.82,D. Cook RB - MIN ,7.80,D. Henderson RB - LA ,21.30,C. Beasley WR - BUF ,11.00,D. Johnson WR - PIT ,9.80,H. Henry TE - NE ,3.30,M. Carter RB - NYJ ,23.20,Y. Koo K - ATL ,9.00,49ers DEF ,6.00,R. Smith LB - CHI ,6.00,A. Brown WR Q ,0.00,G. Kittle TE - SF ,0.00,C. Ridley WR - ATL NFI-R ,0.00,M. Brown WR - ARI ,0.00,E. Mitchell RB - SF ,19.70,D. Carlson K - LV ,0.00,-,-,111.22,Todd,127.66
