Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,2,D. Brees QB - NO ,12.76,D. Martin RB - TB ,7.50,A. Kamara RB - NO ,13.60,A. Green WR - CIN ,8.70,J. Jones WR - ATL ,7.40,--empty--,-,J. Mixon RB - CIN ,8.90,W. Lutz K - NO ,9.00,Falcons DEF ,6.00,L. Kuechly LB - CAR ,12.00,M. Stafford QB - DET ,18.02,T. Kelce TE - KC ,19.30,C. Anderson RB - DEN ,8.50,D. Adams WR - GB ,0.00,D. Henry RB - TEN ,0.00,L. Fournette RB - JAX ,0.00,G. Zuerlein K - LA ,0.00,85.86,Steven,83.22
Liam WHYTE,3,C. Wentz QB - PHI ,17.14,M. Gordon RB - LAC ,19.90,T. Rawls RB - SEA ,-0.10,A. Jeffery WR - PHI ,15.20,D. Hopkins WR - HOU ,28.90,C. Brate TE - TB ,7.40,C. Hogan WR - NE ,6.00,B. McManus K - DEN ,7.00,Eagles DEF ,18.00,R. Shazier LB - PIT ,7.50,B. Powell RB - NYJ ,6.10,D. Funchess WR - CAR ,1.10,M. Mariota QB - TEN ,0.00,T. Gurley RB - LA ,0.00,R. Succop K - TEN ,0.00,Lions DEF ,5.00,-,-,126.94,Kevin,79.22
Adam,1,T. Brady QB - NE ,17.52,J. Howard RB - CHI ,12.10,K. Hunt RB - KC ,6.80,A. Thielen WR - MIN ,15.80,W. Fuller WR - HOU ,25.50,J. Witten TE - DAL ,3.10,J. McKinnon RB - MIN ,20.20,S. Gostkowski K - NE ,13.00,Bengals DEF ,12.00,M. Ingram DL - LAC ,2.00,J. Nelson WR - GB ,0.00,E. Sanders WR - DEN ,0.00,L. Fitzgerald WR - ARI ,0.00,C. Hyde RB - SF ,4.70,E. Engram TE - NYG ,0.00,Jaguars DEF ,0.00,-,-,128.02,Todd,104.88
Steven,8,D. Prescott QB - DAL ,7.32,A. Abdullah RB - DET ,3.80,E. Elliott RB - DAL ,25.40,T. Ginn WR - NO ,6.80,J. Landry WR - MIA ,3.30,J. Graham TE - SEA ,15.90,M. Forte RB - NYJ ,5.20,J. Tucker K - BAL ,12.00,Dolphins DEF ,-1.00,R. Jones DB - MIA ,4.50,M. Lynch RB - LV ,0.00,P. Rivers QB - LAC ,12.48,A. Luck QB - IND ,0.00,R. Woods WR - LA ,0.00,D. Parker WR - MIA ,0.00,D. Johnson RB - ARI ,0.00,-,-,83.22,Liam,85.86
Oliver,7,D. Watson QB - HOU ,32.78,F. Gore RB - IND ,10.10,L. Bell RB - PIT ,12.10,D. Jackson WR - TB ,3.70,D. Bryant WR - DAL ,3.90,R. Gronkowski TE - NE ,11.70,D. Johnson RB - CLE ,4.30,B. Walsh K - SEA ,11.00,Patriots DEF ,9.00,J. Bostic LB - IND ,10.00,R. Matthews WR - TEN ,0.00,M. Lee WR - JAX ,0.00,A. Jones RB - GB ,0.00,D. Bailey K - DAL ,0.00,Seahawks DEF ,13.00,-,-,-,-,108.58,Aaron,52.56
Aaron,10,C. Newton QB - CAR ,12.56,D. Freeman RB - ATL ,6.10,J. Richard RB - LV ,3.60,D. Thomas WR - DEN ,6.60,T. Hilton WR - IND ,1.50,H. Henry TE - LAC ,1.10,N. Agholor WR - PHI ,2.60,G. Gano K - CAR ,5.00,Texans DEF ,0.00,C. Mosley LB - BAL ,13.50,J. Stewart RB - CAR ,9.40,D. Walker TE - TEN ,0.00,B. Roethlisberger QB - PIT ,14.48,K. Benjamin WR - BUF ,9.90,I. Crowell RB - CLE ,15.80,A. Ogletree LB - LA ,0.00,-,-,52.56,Oliver,108.58
Kevin,9,R. Wilson QB - SEA ,35.08,M. Ingram RB - NO ,11.90,C. Thompson RB - WAS ,7.40,D. Baldwin WR - SEA ,5.40,A. Cooper WR - LV ,5.20,J. Cook TE - LV ,5.70,S. Diggs WR - MIN ,3.60,H. Butker K - KC ,19.00,Chiefs DEF ,20.00,K. Mack DL - LV ,2.00,A. Peterson RB - ARI ,0.00,M. Jones WR - DET ,12.80,D. Carr QB - LV ,12.52,T. Gabriel WR - ATL ,-0.30,J. Winston QB - TB ,4.70,T. Coleman RB - ATL ,10.40,-,-,115.28,Jackson ,91.00
Todd,4,A. Smith QB - KC ,14.38,L. Blount RB - PHI ,11.20,L. Murray RB - MIN ,4.70,A. Brown WR - PIT ,7.00,K. Allen WR - LAC ,6.10,K. Rudolph TE - MIN ,8.70,L. Miller RB - HOU ,19.30,J. Elliott K - PHI ,9.00,Bills DEF ,15.00,B. Wagner LB - SEA ,9.50,M. Ryan QB - ATL ,17.86,D. Murray RB - TEN ,0.00,T. Pryor WR - WAS ,0.00,W. Smallwood RB - PHI ,2.40,M. Thomas WR - NO ,7.70,T. Smith LB - JAX ,0.00,-,-,104.88,Adam,128.02
Jackson ,5,T. Taylor QB - BUF ,16.70,L. McCoy RB - BUF ,23.30,J. Ajayi RB - PHI ,4.10,M. Evans WR - TB ,6.00,B. Cooks WR - NE ,2.60,J. Reed TE - WAS ,0.50,M. Crabtree WR - LV ,9.30,M. Bryant K - ATL ,13.00,Vikings DEF ,8.00,V. Burfict LB - CIN ,7.50,P. Garcon WR - SF ,1.70,G. Olsen TE - CAR ,0.00,A. Rodgers QB - GB ,0.00,T. Montgomery RB - GB ,0.00,Cardinals DEF ,0.00,L. Collins DB - NYG ,0.00,-,-,91.00,Kevin,115.28
Kevin,6,K. Cousins QB - WAS ,12.52,C. McCaffrey RB - CAR ,6.20,M. Mack RB - IND ,12.30,G. Tate WR - DET ,7.60,T. Hill WR - KC ,1.80,Z. Ertz TE - PHI ,9.40,R. Kelley RB - WAS ,7.90,K. Forbath K - MIN ,15.00,Steelers DEF ,5.00,K. Beckwith LB - TB ,1.50,S. Bradford QB - MIN ,0.00,E. Decker WR - TEN ,0.00,M. Gillislee RB - NE ,3.40,P. Richardson WR - SEA ,23.50,W. Gallman RB - NYG ,0.00,-,-,-,-,79.22,Liam WHYTE,126.94
